twi,curv,slope,aspect,elevation,lito,uso_solo,class
7.928444862,-0.00820688,3.453212,32.18298,3.69347,2309,12,0
5.485411167,-0.007443026,51.67798,202.7265,69.2528,2309,29,1
7.728321075,0.003438396,0.2630524,347.3643,6.6341,1512,7,0
6.365702152,0.000109884,3.675292,298.456,29.4433,2309,7,0
6.292652607,0.007099521,6.173962,321.7625,32.8605,1641,7,0
8.093372345,-0.001121208,5.838259,67.49918,3.09269,2309,12,0
6.635520458,-0.03221375,33.32647,3.077314,80.1566,797,28,1
7.355271816,0.007236253,2.213048,123.2823,4.12353,2309,29,0
7.763065338,-0.03487367,15.3799,136.1011,55.5934,1641,28,1
10.07226753,-0.01985114,4.010532,265.8946,23.097,1672,23,0
11.73183727,-0.07401723,10.09439,44.78651,92.8594,797,7,1
8.937231064,-0.04294407,24.19333,89.81654,39.2562,797,7,1
8.206635475,0.00370439,1.604933,103.8554,4.70483,2309,8,0
9.457595825,-0.04747187,6.963343,257.9049,28.4782,1641,7,1
4.681092739,0.1498876,27.42882,330.9795,110.886,797,28,1
7.687080383,-0.000432239,3.539956,76.84367,41.8837,2309,7,1
