,FID,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
182,183,379676.0,7355706.0,5.67666959763,0.00168175273575,25.617343902600002,190.37576293900003,245.09815979,65,90,1
95,96,379112.45289099996,7353840.57967,2.8012886047400003,0.00697770621628,31.271041870100003,97.19078063959999,69.6522903442,65,90,0
179,180,380230.0,7355402.0,5.3446097374,0.000538480933756,13.4247608185,189.9815979,180.901168823,65,90,1
153,154,379303.0,7352812.0,4.363774299619999,1.53931614477e-05,26.985654830900003,20.0453414917,359.50579834,2,30,1
115,116,371802.0,7346396.0,5.33358097076,0.00957334041595,18.6687202454,13.8629779816,226.526519775,2,90,1
148,149,375682.0,7348815.0,4.0252189636199995,-0.00374931446277,28.181755065900003,20.4967441559,131.17071533200001,2,20,1
156,157,376778.0,7353100.0,5.41862535477,-0.0187873262912,21.7515697479,40.2518577576,96.3790588379,2,90,1
79,80,379661.464406,7352213.38892,9.07356929779,-7.7737240645e-06,0.45984354615199996,1.04169476032,259.349853516,2,30,0
60,61,366548.688181,7343508.57984,3.9623372554800005,0.00672920187935,29.707267761199997,242.136398315,124.03830719,65,90,0
66,67,369670.777758,7346075.043310001,10.876789093,9.7806214399e-06,0.129359409213,1.9730734825099998,157.650360107,2,30,0
183,184,381355.0,7355736.0,3.5845143795,0.0071903122589,29.030405044600002,26.7764663696,204.00038147,2,90,1
82,83,369210.401837,7345572.33397,11.569960594200001,9.7688298411e-06,0.037199124693999996,2.00849509239,196.055297852,2,30,0
109,110,370946.033443,7346022.024889999,4.13258266449,-0.000184477132279,43.9048309326,46.6285629272,316.640686035,2,30,1
136,137,373302.0,7348245.0,5.868116855619999,-0.00984551850706,15.791934967000001,34.9756813049,316.73785400400004,65,20,1
28,29,374426.231713,7351010.41429,14.7054538727,0.000522193324286,0.779517292976,2.32590055466,193.086090088,65,40,0
33,34,372986.89550100005,7349634.5782,8.44699478149,0.000116232346045,0.49168649315800006,4.76645183563,33.9863243103,2,30,0
157,158,379144.0,7353157.0,7.022772788999999,-0.024067196995,14.0134973526,10.5499725342,144.76272583,65,30,1
54,55,370173.487097,7343587.955,9.649145126339999,-2.8642356483e-05,0.184722319245,5.08747959137,324.075500488,2,30,0
126,127,371933.46668400004,7347634.5875,6.28339290619,0.000619404250756,33.1633796692,47.5363845825,295.76492309599996,2,30,1
141,142,373978.0,7347581.0,4.30500078201,-0.0115855550393,34.021076202399996,35.624473571799996,91.6880493164,2,20,1
69,70,371152.44738800003,7347874.21357,16.449026107799998,6.7727596615e-06,0.119304791093,2.92420530319,352.815307617,2,90,0
76,77,367315.981382,7345307.75011,10.8768129349,7.44384378777e-05,1.0240688324,1.13364255428,238.640457153,2,30,0
65,66,369459.110668,7345122.5414,11.5698537827,-1.41300697578e-05,0.118430636823,1.04869413376,113.267349243,2,40,0
160,161,376611.0,7353297.0,4.38135147095,-0.00842730328441,26.5805339813,9.98255443573,322.303649902,2,20,1
91,92,366147.843629,7344646.29045,14.7304935455,-0.000353528448613,0.43090218305600003,64.3015899658,213.195159912,65,90,0
88,89,371803.32369,7348945.778210001,6.37431955338,0.000408856722061,0.976672053337,4.82996320724,251.59884643599997,2,30,0
36,37,376712.236285,7351454.9151800005,3.01353669167,0.0094693377614,26.1592006683,103.925132751,116.66646575899999,65,90,0
151,152,379591.0,7352652.0,4.1957616806,-0.0124039100483,24.3124103546,11.281668663,134.184921265,2,30,1
195,196,379740.322919,7357240.18745,6.68201208115,-0.00808783154935,11.3386135101,5.02631616592,0.3045412302,65,90,1
92,93,370943.426137,7343984.830789999,4.9436788559,0.000277044018731,4.07733535767,4.02895212173,287.975097656,2,30,0
161,162,376766.0,7353544.0,5.47594642639,-0.0104931052774,14.099639892599999,7.57849121094,231.531982422,2,90,1
11,12,382014.49689,7356719.60487,3.6238703727699995,0.00616285204887,38.6729812622,91.13689422610001,215.73719787599998,65,90,0
110,111,372569.0,7346250.0,5.78269577026,-0.0109796132892,20.3093128204,9.1447057724,306.60592651400003,2,30,1
94,95,378814.79604600003,7351889.273689999,10.6547679901,-9.98271716526e-05,0.38105708360699997,0.20320622623,355.527252197,2,90,0
61,62,366072.437228,7344249.41466,7.16568422318,-0.0682781711221,17.5020904541,120.99201202399999,27.4634895325,65,90,0
26,27,375124.73311,7351095.081119999,7.038650512699999,-0.00130922032986,20.227346420299998,25.464799880999998,300.725982666,65,90,0
71,72,371946.198976,7348509.21484,9.18053817749,2.86204722215e-05,0.177086681128,3.9568610191299998,266.683929443,2,20,0
106,107,366716.0,7345368.0,4.90397119522,-0.00972209125757,30.6834392548,9.78302383423,163.22442627,65,90,1
17,18,378913.574021,7356915.9261,7.884116649630001,5.31532386958e-05,0.43163433670999996,1.9134567975999999,283.429199219,2,20,0
131,132,372941.0,7347998.0,3.6095483303099996,-0.0121051017195,15.1437883377,6.60908699036,298.91317749,65,30,1
86,87,375904.373559,7348185.099610001,11.643184661900001,0.000123487407109,0.267488509417,4.90079498291,302.502593994,2,90,0
43,44,375907.901343,7347814.241230001,9.88421058655,-8.43614907353e-05,0.551850736141,4.35519886017,51.330615997299994,2,90,0
177,178,380692.0,7355273.0,5.38382101059,0.0176774561405,28.847282409699996,102.130935669,340.628234863,65,90,1
14,15,381749.913027,7357487.427239999,3.45644211769,-0.00101976748556,51.5996932983,106.412963867,176.043914795,65,90,0
0,1,377766.973395,7352432.37263,7.53762292862,-0.00148686370812,0.91550296545,5.22001743317,164.427612305,2,90,0
22,23,375378.733618,7353063.58506,11.570018768299999,-5.6430576478e-06,0.012159744278,1.7640073299399999,95.04844665530001,2,60,0
68,69,370649.738049,7347662.54648,15.0051078796,3.1836541439e-06,0.250672399998,2.68161916733,211.812774658,2,20,0
103,104,371074.0,7345111.0,6.688553810119999,-0.0105759082362,29.801399230999998,15.330963134800001,71.8810424805,2,20,1
