FID,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
70,378380.6843560,7346629.97064,8.26419448853,-0.00519406935200000,20.8674850464000,50.48667144780,242.9383392330,65,90,0
71,378682.4369600,7346479.09433,4.48774671555,0.00949214864522000,34.0097885132000,109.11837005600,138.4653320310,2,90,0
72,379000.9535970,7346646.73467,5.31392765045,-0.00853242445737000,26.2089633942000,111.16167450000,114.4835815430,2,90,0
73,379218.8860330,7346663.49870,5.25685024261,-0.00186631898396000,27.5271492004000,39.97267913820,133.0459747310,2,90,0
74,379168.5939320,7346982.01534,3.93293142319,0.00998495146632000,21.3914566040000,67.49021911620,116.3086776730,65,90,0
75,378715.9650270,7346914.95921,3.10964369774,0.02889880910520000,42.2484474182000,153.48445129400,148.6520080570,65,20,0
76,378866.8413290,7347183.18374,4.27825307846,0.00427927030250000,22.5876255035000,112.62756347700,117.4097671510,65,20,0
77,379135.0658650,7347434.64425,5.49461317062,-0.00245843362063000,9.3333282470700,83.89176177980,214.3766937260,65,90,0
78,379017.7176310,7347686.10475,4.08581066132,-0.01400189474230000,19.0555782318000,4.91206550598,295.5458374020,65,20,0
79,379051.2456980,7347987.85735,5.42309236526,-0.01311559882010000,11.6564435959000,2.11001896858,283.3843078610,65,30,0
80,379084.7737650,7348591.36256,9.88374900818,0.00002648068402780,0.2045332193370,4.82623481750,206.2871246340,2,30,0
81,379185.3579660,7349194.86777,10.32526302340,0.00001506673288530,0.1878949552770,6.02141046524,135.3939666750,2,30,0
82,379252.4141000,7348826.05903,9.23115062714,0.00017996341921400,0.2805771529670,4.99999666214,85.1970291138,2,30,0
83,382478.1253010,7359910.75761,10.51085758210,-0.00021848014148400,0.2497078329320,1.90929603577,38.7761268616,2,40,0
84,382808.8551290,7359613.10077,4.55723428726,-0.00521088810638000,22.7649440765000,21.04236412050,329.1830749510,65,90,0
85,382511.1982840,7359150.07901,2.89420747757,0.00127587816678000,28.9614372253000,134.22711181600,335.0150146480,65,90,0
86,383040.3660090,7359117.00603,4.20291471481,0.01479509193450000,16.6486892700000,207.88616943400,160.0473175050,65,90,0
87,382875.0010950,7358554.76532,5.61891269684,0.00580762373284000,16.1873168945000,119.88228607200,347.2975769040,65,90,0
88,383371.0958370,7358687.05725,5.65041923523,-0.00085178081644700,13.8269767761000,87.51431274410,271.3713073730,65,90,0
89,383073.4389920,7358157.88953,4.53314352036,0.00545986788347000,28.2510204315000,144.28939819300,152.7370758060,65,90,0
90,383536.4607510,7358257.10847,4.98287820816,0.00800989009440000,11.6197366714000,85.03382873540,90.8530426025,65,90,0
91,383767.9716310,7357959.45163,3.93331456184,-0.00101777480450000,30.4282989502000,88.43469238280,314.0554504390,65,90,0
92,383304.9498720,7357694.86777,4.03142499924,0.00207615038380000,10.0646123886000,226.87780761700,288.3976135250,65,90,0
93,383470.3147860,7357364.13794,9.27317333221,-0.00495786825195000,11.9824695587000,85.09964752200,199.1049346920,2,90,0
94,383900.2635620,7357529.50285,6.62438392639,0.00008325154340130,26.1607761383000,130.97978210400,61.8439254761,2,90,0
