FID,X,Y,Declividade,Aspecto,Curvatura,Elevacao,TWI,Geologia,Uso,class
92,381558.3281,7356922.195,12.333498,287.2422485,-0.170539856,87.43166351,4.516025066,65,90,0
131,372536,7347728,34.45750427,60.7914505,-2.848556519,25.57762909,5.244135857,65,30,1
11,368411.0247,7343628.575,31.31621933,160.8542633,0.087554932,87.56332397,3.492659569,2,90,0
36,373575.4802,7348143.942,19.61322403,102.1104965,2.699829102,99.50222015,3.334444284,65,90,0
133,372376,7347832,24.72109985,317.0439758,0.987630844,30.01114845,4.464550495,65,30,1
192,379289,7356161,7.87295675,89.96906281,-0.289955139,115.0125427,6.072815895,65,90,1
67,376968.6749,7351046.494,1.17787492,126.8230133,0.004836559,7.248785973,7.573253632,2,90,0
41,377235.9046,7348760.746,0.47492993,84.72961426,-0.024287224,3.450828075,9.292601585,2,90,0
177,380188,7355077,26.71403694,89.91781616,-0.053092957,65.00498962,5.186469078,2,90,1
119,371843,7346480,28.1687851,282.0887146,-0.573137283,29.66653061,4.025763035,2,90,1
55,374827.1834,7350143.953,25.49900627,133.0966797,-0.322166443,70.79749298,5.24014473,2,90,0
194,381007,7356383,27.09522057,334.6312561,-0.440615654,20.93483734,5.457664013,65,90,1
198,379739,7357264,10.60371113,347.4897461,-0.745428741,2.376335144,5.076711655,65,20,1
134,372941,7347998,15.14378834,298.9131775,-0.71743679,6.60908699,3.60954833,65,30,1
34,372386.3973,7347405.51,30.55913925,324.7434082,-1.704620361,156.1582031,4.215772629,65,20,0
184,380097,7355650,29.03040504,204.0003815,0.417772293,26.77646637,3.58451438,2,90,1
176,380247,7355075,26.23144722,359.4183655,0.644836426,135.140625,4.956262589,65,90,1
100,383738.8441,7359209.612,32.29370117,96.10282135,-2.015338898,55.80924606,5.246326447,65,90,0
168,377383,7354379,22.34081459,282.587616,-2.555114746,9.369758606,4.801277161,2,90,1
59,377367.7048,7350461.978,0.52971131,123.2638474,-0.000931263,4.368452072,8.932114601,2,90,0
164,376766,7353544,6.18659639,318.3579712,-0.592960238,1.136379003,9.01970768,2,90,1
73,380992.4636,7351478.471,22.1707592,208.4968719,-0.321662903,69.42605591,3.2003057,65,90,0
153,375361,7348840,24.31241035,134.1849213,-3.103070259,11.28166866,4.195761681,2,30,1
84,379072.1166,7353718.791,29.29461288,116.8833237,-1.476165771,90.72720337,6.618200779,65,90,0
171,377547,7354628,38.0387764,323.5971985,2.262966156,45.69155884,4.157443047,2,90,1
132,373697,7347730,30.72761917,157.1707916,-2.202957153,151.2314453,4.432211399,65,90,1
187,378847,7355804,27.00302887,226.2173462,2.329269409,185.1747437,3.669877291,65,90,1
94,381386.8777,7357277.796,21.24321938,141.993927,-0.878105164,110.2847824,5.193334579,65,90,0
75,376600.9034,7351808.753,22.70939827,346.9830017,0.145050049,155.0422516,3.866804838,65,90,0
165,377099,7353932,14.00481987,318.743042,-1.589947701,6.933695793,5.888437748,65,90,1
186,381355,7355736,9.70205307,250.9653015,-1.828491211,35.09121323,6.148293495,2,90,1
28,378438.1737,7346682.176,20.28876495,242.4514923,-1.389068604,80.53912354,8.180482864,65,90,0
4,369522.277,7342848.053,20.41813087,280.6943359,-1.195983887,65.7465744,5.08251667,2,90,0
