,Unnamed: 0,declined,valueClient,extraCost,valueResources,net,processDuration,daysOnContact,daysOnInterview,daysOnSendCV,daysOnReturn,daysOnCSchedule,daysOnCRealized,cluster
102,102,0,13070.4,0.0,0.0,10665.4464,0,0,0,0,0,0,0,0
103,103,0,10651.2,0.0,5000.0,191.3792,0,0,0,0,0,0,0,0
104,104,0,16800.0,0.0,8400.0,5308.8,14,0,1,0,0,0,4,0
105,105,0,5995.0,0.0,2461.55,584.2075,0,0,0,0,0,0,0,0
106,106,0,13440.0,0.0,8200.0,-2972.96,14,0,0,0,3,3,0,0
107,107,0,18984.0,0.0,11928.0,3562.9440000000004,21,0,1,0,1,3,7,0
108,108,0,16800.0,0.0,10072.5,1369.86,39,0,0,0,0,5,0,0
109,109,1,16800.0,0.0,8000.0,1088.0,24,0,0,0,6,5,2,0
110,110,0,16800.0,0.0,7000.0,1808.8,24,3,0,0,0,1,0,0
111,111,0,17976.0,0.0,10080.0,4588.416,21,0,1,0,1,7,5,1
112,112,0,16800.0,0.0,3000.0,408.0,15,0,0,0,0,9,0,0
113,113,0,14952.0,0.0,11760.0,440.832,6,0,1,0,0,0,1,0
114,114,0,0.0,0.0,1332.0,0.0,20,0,1,0,0,0,0,0
115,115,0,9912.0,0.0,6501.6,1586.592,48,0,0,3,13,5,1,1
116,116,1,13440.0,0.0,10920.0,47.04,12,0,0,0,0,0,0,0
117,117,0,18984.0,0.0,11928.0,3562.9440000000004,11,0,0,0,0,1,0,0
118,118,0,17976.0,0.0,12936.0,1732.4160000000004,18,0,0,0,1,6,0,0
119,119,0,0.0,0.0,3000.0,0.0,17,1,0,0,0,3,0,0
120,120,0,14999.04,0.0,11760.0,479.21664,20,0,0,0,0,1,0,0
121,121,0,16800.0,0.0,6000.0,816.0,41,0,1,7,0,6,1,1
122,122,0,16800.0,0.0,15405.0,2095.08,20,1,2,0,0,5,1,1
123,123,0,16800.0,0.0,11424.0,2284.8,5,0,0,0,0,0,0,0
124,124,0,16632.0,0.0,10080.0,3491.712,95,0,0,0,2,11,31,1
125,125,0,7650.0,0.0,3000.0,992.4,0,0,0,0,0,0,0,0
126,126,0,19320.0,0.0,12432.0,3333.12,54,5,1,1,5,7,18,1
127,127,0,9100.0,0.0,3800.0,775.6,12,0,0,1,0,4,1,0
128,128,0,17976.0,0.0,11424.0,3244.416,5,0,0,0,0,0,0,0
129,129,0,16800.0,0.0,9240.0,1256.64,14,0,1,0,1,4,7,0
130,130,0,16800.0,0.0,2070.65,281.6084,33,0,1,0,1,1,6,0
131,131,0,14999.04,0.0,10080.0,2159.21664,7,0,0,0,0,1,0,0
132,132,0,8295.0,0.0,7000.0,1128.12,54,0,0,1,12,2,5,1
133,133,0,13440.0,0.0,10000.0,1088.0,25,0,0,0,0,3,0,0
134,134,1,11256.0,0.0,7728.0,1456.896,52,0,0,14,1,9,0,1
135,135,0,16800.0,0.0,6500.0,884.0,38,2,2,0,7,5,7,1
136,136,0,16800.0,0.0,10074.54,1370.13744,48,1,0,0,0,2,27,1
137,137,0,6786.72,0.0,1800.0,2387.96352,0,0,0,0,0,0,0,0
138,138,0,10500.0,0.0,4000.0,1568.0,26,0,1,0,0,7,13,1
139,139,0,16800.0,0.0,1539.42,209.36112,26,0,1,5,2,4,0,1
140,140,0,11760.0,0.0,7896.0,1700.16,11,1,3,0,0,1,0,1
